m,selected_stocks,weights,error_2019,error_2020
10,"['ANSS', 'ASML', 'DLTR', 'JD', 'MAR', 'NXPI', 'ORLY', 'PAYX', 'PYPL', 'PEP']","[array(0.99991), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05)]",2.527922987494528,3.255185157825108
20,"['AMGN', 'ANSS', 'AAPL', 'ASML', 'CHTR', 'CTAS', 'DLTR', 'EA', 'FAST', 'JD', 'LBTYK', 'MAR', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'TMUS']","[array(1.e-05), array(0.99981), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05)]",2.5276563143574338,3.2548692407641386
30,"['ATVI', 'AMD', 'GOOG', 'AMZN', 'AMGN', 'AMAT', 'ADSK', 'BIDU', 'CDNS', 'CDW', 'CSCO', 'CTXS', 'CPRT', 'CSX', 'DXCM', 'FAST', 'IDXX', 'INTU', 'ISRG', 'MRNA', 'MNST', 'NVDA', 'NXPI', 'PYPL', 'PEP', 'PDD', 'REGN', 'SBUX', 'TCOM', 'WBA']","[array(0.99961649), array(1.e-05), array(2.66326069e-05), array(1.e-05), array(4.09186174e-05), array(3.66306148e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.0789162e-05), array(1.51493211e-05), array(1.e-05), array(1.e-05), array(1.56405235e-05), array(1.e-05), array(1.49025972e-05), array(1.e-05), array(1.28424207e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05)]",7.45689681576489e-05,0.0001778407857143985
40,"['ADBE', 'AMD', 'GOOG', 'AMZN', 'AMGN', 'ANSS', 'AAPL', 'ASML', 'BIIB', 'BKNG', 'CHTR', 'CHKP', 'CTAS', 'CTXS', 'CPRT', 'DLTR', 'EA', 'FAST', 'GILD', 'IDXX', 'INTC', 'JD', 'LBTYA', 'LBTYK', 'MAR', 'MXIM', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'QCOM', 'SGEN', 'TMUS', 'TXN', 'VRTX', 'WBA', 'WDC']","[array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(0.99961), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05)]",2.5271594789027576,3.2542829254645547
50,"['ADBE', 'AMD', 'GOOG', 'AMZN', 'AMGN', 'ANSS', 'AAPL', 'ASML', 'ADSK', 'BIIB', 'BKNG', 'CERN', 'CHTR', 'CHKP', 'CTAS', 'CTXS', 'CPRT', 'DOCU', 'DLTR', 'EA', 'FAST', 'GILD', 'IDXX', 'ILMN', 'INTC', 'INTU', 'JD', 'LBTYA', 'LBTYK', 'MAR', 'MXIM', 'MELI', 'MSFT', 'NTES', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'QCOM', 'REGN', 'SGEN', 'SPLK', 'TMUS', 'TXN', 'VRTX', 'WBA', 'WDC']","[array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(0.99951), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05)]",2.52698005574399,3.254059303891139
60,"['ATVI', 'ADBE', 'AMD', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AMAT', 'ASML', 'ADP', 'BIDU', 'BKNG', 'AVGO', 'CDNS', 'CDW', 'CERN', 'CHKP', 'CSCO', 'CTXS', 'CTSH', 'CMCSA', 'CPRT', 'CSX', 'DXCM', 'EA', 'EXPE', 'FAST', 'GILD', 'IDXX', 'INCY', 'INTU', 'ISRG', 'JD', 'KLAC', 'KHC', 'LRCX', 'MXIM', 'MELI', 'MU', 'MRNA', 'MNST', 'NVDA', 'NXPI', 'PCAR', 'PYPL', 'PEP', 'PDD', 'REGN', 'ROST', 'SGEN', 'SWKS', 'TMUS', 'TTWO', 'TXN', 'TCOM', 'VRSK', 'WBA', 'WDAY', 'XLNX']","[array(0.99887629), array(1.e-05), array(1.e-05), array(1.e-05), array(7.78763575e-05), array(0.00010372), array(1.70707018e-05), array(1.e-05), array(0.00010492), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.52367366e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(2.86487462e-05), array(1.e-05), array(1.e-05), array(3.06437961e-05), array(1.66037124e-05), array(1.6211142e-05), array(1.e-05), array(1.e-05), array(5.81668597e-05), array(1.e-05), array(1.e-05), array(1.06543975e-05), array(2.61301886e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.36240154e-05), array(1.e-05), array(1.e-05), array(0.00010731), array(1.e-05), array(2.69164718e-05), array(1.52955636e-05), array(1.e-05), array(1.e-05), array(1.48754262e-05), array(1.56333081e-05), array(1.10677401e-05), array(1.e-05), array(1.85829666e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.45295631e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05)]",9.730709106754583e-05,0.00047429609886345364
70,"['ATVI', 'ADBE', 'AMD', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AMAT', 'ASML', 'ADSK', 'BIDU', 'BIIB', 'BMRN', 'BKNG', 'AVGO', 'CDNS', 'CHKP', 'CTAS', 'CTXS', 'CTSH', 'CMCSA', 'CPRT', 'CSX', 'DXCM', 'DOCU', 'EBAY', 'EA', 'EXC', 'FB', 'FAST', 'IDXX', 'ILMN', 'INCY', 'INTC', 'INTU', 'ISRG', 'JD', 'KHC', 'LBTYA', 'LBTYK', 'MXIM', 'MELI', 'MU', 'MSFT', 'MRNA', 'MNST', 'NTES', 'NFLX', 'NVDA', 'NXPI', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'REGN', 'ROST', 'SGEN', 'SWKS', 'SNPS', 'TMUS', 'TTWO', 'TXN', 'TCOM', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'XLNX']","[array(0.99852851), array(1.e-05), array(2.58210581e-05), array(9.79936909e-05), array(2.68239417e-05), array(0.0001519), array(1.e-05), array(1.e-05), array(0.00014186), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.38661071e-05), array(2.0180957e-05), array(1.12096639e-05), array(1.e-05), array(3.8202467e-05), array(1.e-05), array(1.e-05), array(4.45203513e-05), array(2.1732067e-05), array(1.14409394e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.07997186e-05), array(6.72286056e-05), array(1.23277039e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(4.58720496e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(0.00014068), array(1.e-05), array(1.e-05), array(1.e-05), array(2.61277411e-05), array(1.84109094e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(2.03541946e-05), array(1.85566025e-05), array(1.46093885e-05), array(1.e-05), array(1.47811755e-05), array(1.e-05), array(1.e-05), array(1.63795484e-05), array(1.24473976e-05), array(1.24033953e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.49557727e-05), array(1.e-05)]",0.00011240999084202906,0.0005567411661033989
80,"['ATVI', 'ADBE', 'AMD', 'ALXN', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AMAT', 'ASML', 'ADSK', 'ADP', 'BIDU', 'BIIB', 'BMRN', 'AVGO', 'CDNS', 'CERN', 'CHTR', 'CHKP', 'CTAS', 'CTXS', 'CTSH', 'CMCSA', 'CPRT', 'CSX', 'DXCM', 'DOCU', 'EBAY', 'EA', 'EXPE', 'FB', 'FAST', 'FISV', 'GILD', 'IDXX', 'ILMN', 'INCY', 'INTC', 'INTU', 'ISRG', 'JD', 'KLAC', 'KHC', 'LRCX', 'LBTYA', 'LULU', 'MAR', 'MXIM', 'MELI', 'MU', 'MSFT', 'MRNA', 'MNST', 'NTES', 'NFLX', 'NVDA', 'NXPI', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'REGN', 'ROST', 'SGEN', 'SWKS', 'SNPS', 'TMUS', 'TTWO', 'TXN', 'TCOM', 'VRSN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'WDC', 'XLNX']","[array(0.99811493), array(1.e-05), array(2.86810734e-05), array(1.e-05), array(0.00010041), array(5.52868227e-05), array(0.00019242), array(1.3132337e-05), array(1.e-05), array(0.00019037), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.03710444e-05), array(1.92003775e-05), array(1.83778827e-05), array(1.e-05), array(1.e-05), array(1.75482094e-05), array(1.e-05), array(4.22794895e-05), array(1.e-05), array(1.e-05), array(4.24717458e-05), array(1.45029385e-05), array(1.77274073e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(8.44222257e-05), array(1.e-05), array(1.e-05), array(2.40644405e-05), array(1.e-05), array(1.30251011e-05), array(1.e-05), array(6.89574792e-05), array(1.e-05), array(1.81558014e-05), array(1.e-05), array(1.e-05), array(1.00872489e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.04178837e-05), array(1.e-05), array(1.e-05), array(0.00018213), array(1.34144461e-05), array(1.e-05), array(1.e-05), array(3.15068027e-05), array(2.29249778e-05), array(1.e-05), array(1.01939237e-05), array(1.e-05), array(3.56207879e-05), array(3.71085115e-05), array(1.77958521e-05), array(1.7367043e-05), array(1.e-05), array(1.12268526e-05), array(1.e-05), array(1.e-05), array(2.54495605e-05), array(1.63887236e-05), array(1.7412252e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.05696788e-05), array(1.4053796e-05), array(1.e-05), array(1.e-05)]",0.00011964013154804125,0.0006791208689860043
90,"['ATVI', 'ADBE', 'AMD', 'ALXN', 'ALGN', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AMAT', 'ASML', 'ADSK', 'ADP', 'BIDU', 'BIIB', 'BMRN', 'BKNG', 'AVGO', 'CDNS', 'CDW', 'CERN', 'CHTR', 'CHKP', 'CTAS', 'CSCO', 'CTXS', 'CTSH', 'CMCSA', 'CPRT', 'COST', 'CSX', 'DXCM', 'DOCU', 'EBAY', 'EA', 'EXC', 'EXPE', 'FB', 'FAST', 'FISV', 'GILD', 'IDXX', 'ILMN', 'INCY', 'INTC', 'INTU', 'ISRG', 'JD', 'KLAC', 'KHC', 'LRCX', 'LBTYA', 'LBTYK', 'LULU', 'MAR', 'MXIM', 'MELI', 'MU', 'MSFT', 'MRNA', 'MNST', 'NTES', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'REGN', 'ROST', 'SGEN', 'SWKS', 'SPLK', 'SNPS', 'TMUS', 'TTWO', 'TXN', 'TCOM', 'VRSN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'WDC', 'XLNX']","[array(0.9977507), array(1.40326338e-05), array(2.74269581e-05), array(1.e-05), array(1.e-05), array(0.00018739), array(1.e-05), array(0.00022553), array(2.49595373e-05), array(1.e-05), array(0.00021518), array(1.e-05), array(1.e-05), array(1.e-05), array(1.39934684e-05), array(1.e-05), array(1.57582268e-05), array(1.e-05), array(1.83823531e-05), array(1.99782933e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(2.02351679e-05), array(1.e-05), array(1.e-05), array(5.22056418e-05), array(1.e-05), array(1.52406401e-05), array(5.33786395e-05), array(1.e-05), array(2.69367571e-05), array(2.17386274e-05), array(1.e-05), array(1.48011853e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(9.42319959e-05), array(1.e-05), array(1.e-05), array(1.35389467e-05), array(1.e-05), array(1.14370727e-05), array(1.e-05), array(6.99769332e-05), array(1.e-05), array(2.36861312e-05), array(1.e-05), array(1.e-05), array(1.45496803e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(9.82247194e-06), array(0.00021657), array(2.16887056e-05), array(1.e-05), array(1.e-05), array(4.04755458e-05), array(2.74923918e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(3.63998427e-05), array(4.0280382e-05), array(2.32852992e-05), array(1.e-05), array(1.e-05), array(1.38142377e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(2.61971992e-05), array(1.79261557e-05), array(2.4494515e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.63315941e-05), array(1.86936112e-05), array(1.e-05), array(1.e-05)]",0.0001461957636754547,0.0008217272661763524
100,"['ATVI', 'ADBE', 'AMD', 'ALXN', 'ALGN', 'GOOGL', 'GOOG', 'AMZN', 'AMGN', 'ADI', 'ANSS', 'AAPL', 'AMAT', 'ASML', 'ADSK', 'ADP', 'BIDU', 'BIIB', 'BMRN', 'BKNG', 'AVGO', 'CDNS', 'CDW', 'CERN', 'CHTR', 'CHKP', 'CTAS', 'CSCO', 'CTXS', 'CTSH', 'CMCSA', 'CPRT', 'COST', 'CSX', 'DXCM', 'DOCU', 'DLTR', 'EBAY', 'EA', 'EXC', 'EXPE', 'FB', 'FAST', 'FISV', 'GILD', 'IDXX', 'ILMN', 'INCY', 'INTC', 'INTU', 'ISRG', 'JD', 'KLAC', 'KHC', 'LRCX', 'LBTYA', 'LBTYK', 'LULU', 'MAR', 'MXIM', 'MELI', 'MCHP', 'MU', 'MSFT', 'MRNA', 'MDLZ', 'MNST', 'NTES', 'NFLX', 'NVDA', 'NXPI', 'ORLY', 'PCAR', 'PAYX', 'PYPL', 'PEP', 'PDD', 'QCOM', 'REGN', 'ROST', 'SGEN', 'SIRI', 'SWKS', 'SPLK', 'SBUX', 'SNPS', 'TMUS', 'TTWO', 'TSLA', 'TXN', 'TCOM', 'ULTA', 'VRSN', 'VRSK', 'VRTX', 'WBA', 'WDAY', 'WDC', 'XEL', 'XLNX']","[array(0.99701587), array(1.e-05), array(3.93751677e-05), array(1.36577221e-05), array(1.e-05), array(1.e-05), array(0.00025278), array(1.e-05), array(0.00029314), array(2.7803411e-05), array(1.e-05), array(1.e-05), array(0.00027139), array(1.e-05), array(1.e-05), array(1.e-05), array(2.15299088e-05), array(1.e-05), array(1.39392736e-05), array(1.e-05), array(3.18423734e-05), array(3.81621328e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.15540142e-05), array(1.e-05), array(1.e-05), array(6.84331758e-05), array(1.e-05), array(3.13722476e-05), array(7.87504387e-05), array(1.e-05), array(3.39844792e-05), array(3.75658545e-05), array(1.e-05), array(1.e-05), array(1.54526915e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(0.00013115), array(1.e-05), array(1.16391396e-05), array(2.54661695e-05), array(1.e-05), array(1.1782859e-05), array(1.e-05), array(9.84575169e-05), array(9.20043302e-06), array(3.05859749e-05), array(1.e-05), array(1.23448603e-05), array(2.19561949e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.3383368e-05), array(0.0002978), array(1.e-05), array(2.51774822e-05), array(1.e-05), array(1.e-05), array(5.17296431e-05), array(3.42655206e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(4.23680798e-05), array(7.70944648e-05), array(1.e-05), array(3.43017764e-05), array(1.e-05), array(1.31705505e-05), array(1.e-05), array(1.83332471e-05), array(1.e-05), array(1.e-05), array(4.24542789e-05), array(1.e-05), array(2.93437804e-05), array(1.e-05), array(2.22752658e-05), array(3.82110261e-05), array(1.e-05), array(1.1765055e-05), array(1.e-05), array(1.e-05), array(1.e-05), array(2.4270932e-05), array(1.e-05), array(1.e-05), array(1.48668119e-05)]",0.00021402542314718717,0.0011667474817461747
